"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1600000US0600135","Acalanes Ridge CDP, California","1025","239","948","240","767","247","0","14","1","4","151","114","0","14","0","14","29","36","0","14","29","36","77","75","42","59","0","14","0","14","0","14","0","14","0","14","35","45","35","45","0","14",
"1600000US0600156","Acampo CDP, California","278","265","258","260","258","260","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","20","30","20","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600212","Acton CDP, California","7721","792","4902","674","4462","656","30","28","0","19","164","108","0","19","34","38","212","133","41","64","171","110","2819","708","832","409","0","19","21","35","4","7","0","19","1419","598","543","367","479","370","64","59",
"1600000US0600296","Adelanto city, California","38010","42","11954","1018","3503","573","5789","979","75","69","577","268","32","66","308","312","1670","733","194","185","1476","674","26056","1018","6345","1625","434","318","353","154","79","134","61","129","7610","1281","11174","1715","10631","1720","543","247",
"1600000US0600310","Adin CDP, California","91","76","88","75","85","79","0","14","0","14","3","11","0","14","0","14","0","14","0","14","0","14","3","11","0","14","0","14","0","14","0","14","0","14","3","11","0","14","0","14","0","14",
"1600000US0600394","Agoura Hills city, California","19881","45","16847","847","13660","972","126","98","0","21","1565","352","23","39","232","196","1241","463","98","94","1143","464","3034","848","517","309","25","40","0","21","0","21","0","21","1703","811","789","285","695","272","94","93",
"1600000US0600450","Agua Dulce CDP, California","2768","550","1970","466","1689","438","2","8","53","77","88","95","0","14","0","14","138","94","7","11","131","94","798","235","204","139","0","14","86","103","0","14","0","14","294","237","214","122","183","114","31","39",
"1600000US0600464","Aguanga CDP, California","756","465","609","392","579","381","0","14","0","14","13","32","0","14","0","14","17","30","0","14","17","30","147","161","0","14","0","14","0","14","0","14","0","14","0","14","147","161","147","161","0","14",
"1600000US0600478","Ahwahnee CDP, California","1532","433","1321","400","1221","405","4","7","0","14","15","26","3","7","0","14","78","63","45","51","33","38","211","119","20","26","49","79","17","28","0","14","0","14","83","87","42","35","38","33","4","8",
"1600000US0600535","Airport CDP, California","1258","479","475","254","397","259","0","14","0","14","21","41","0","14","0","14","57","50","31","39","26","35","783","456","174","184","0","14","124","169","8","16","0","14","166","156","311","345","297","346","14","29",
"1600000US0600562","Alameda city, California","76876","48","65961","1033","31153","1467","4572","934","191","96","23038","1511","333","222","851","414","5823","796","907","372","4916","652","10915","1038","2204","503","87","57","176","119","216","129","14","23","2868","546","5350","819","3962","728","1388","386",
"1600000US0600618","Alamo CDP, California","14441","1268","13368","1153","10833","1052","91","123","1","2","1508","329","0","21","60","72","875","350","214","223","661","249","1073","450","223","147","3","16","0","21","0","21","0","21","327","330","520","295","362","260","158","143",
"1600000US0600674","Albany city, California","19768","41","17206","504","8688","561","647","224","7","10","5690","673","4","9","321","175","1849","420","175","109","1674","413","2562","506","570","163","89","126","67","57","76","77","0","21","656","267","1104","355","871","328","233","91",
"1600000US0600716","Albion CDP, California","214","88","200","92","173","86","0","14","0","14","18","30","0","14","0","14","9","21","0","14","9","21","14","25","7","17","0","14","0","14","0","14","0","14","7","17","0","14","0","14","0","14",
"1600000US0600786","Alderpoint CDP, California","62","103","62","103","62","103","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600884","Alhambra city, California","81483","63","52917","1433","6884","679","1973","618","232","143","41397","1462","136","118","410","287","1885","408","295","161","1590","377","28566","1435","5188","855","83","62","722","290","248","131","0","32","15172","1207","7153","861","5896","761","1257","448",
"1600000US0600898","Alhambra Valley CDP, California","937","394","929","396","674","290","115","182","0","14","33","35","0","14","0","14","107","111","0","14","107","111","8","13","8","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600947","Aliso Viejo city, California","51320","50","41394","1176","28385","1496","1015","339","0","32","8585","1330","3","6","160","150","3246","540","497","290","2749","429","9926","1174","2896","587","90","91","58","49","76","72","14","22","3081","1048","3711","797","3068","744","643","296",
"1600000US0600982","Alleghany CDP, California","35","52","35","52","35","52","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600996","Allendale CDP, California","1915","450","1493","367","1141","345","108","118","0","14","98","113","0","14","0","14","146","161","59","104","87","119","422","269","101","112","0","14","0","14","0","14","0","14","162","170","159","116","159","116","0","14",
"1600000US0601010","Allensworth CDP, California","443","138","28","36","3","5","21","36","0","14","4","5","0","14","0","14","0","14","0","14","0","14","415","135","71","47","0","14","0","14","0","14","0","14","240","94","104","85","104","85","0","14",
