area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,0600135,"Acalanes Ridge CDP, CA",0.9480,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.8889,0.7778
Total,Census Place,0600156,"Acampo CDP, CA",2.4226,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6522
Total,Census Place,0600212,"Acton CDP, CA",91.0073,0.0000,0.0000,1.0000,0.9190,0.9838,0.8565,0.9630,0.7396
Total,Census Place,0600296,"Adelanto city, CA",122.5017,0.0000,0.0000,1.0000,0.9794,0.9991,0.9329,0.9923,0.8040
Total,Census Place,0600310,"Adin CDP, CA",7.4786,0.0000,0.0000,1.0000,1.0000,0.9859,0.7324,0.9577,0.2817
Total,Census Place,0600394,"Agoura Hills city, CA",18.0119,0.0000,0.0000,1.0000,0.9825,1.0000,0.9006,0.9942,0.7602
Total,Census Place,0600450,"Agua Dulce CDP, CA",53.6142,0.0000,0.0000,0.9843,0.7937,0.9175,0.5953,0.8468,0.4558
Total,Census Place,0600464,"Aguanga CDP, CA",31.1784,0.0000,0.0000,1.0000,0.9392,0.9797,0.8378,0.9527,0.7500
Total,Census Place,0600478,"Ahwahnee CDP, CA",28.0184,0.0000,0.0000,1.0000,0.9887,0.9962,0.8383,0.9737,0.5940
Total,Census Place,0600535,"Airport CDP, CA",0.3160,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Total,Census Place,0600562,"Alameda city, CA",57.4062,0.0000,0.0000,0.4624,0.4624,1.0000,0.9963,1.0000,0.9596
Total,Census Place,0600618,"Alamo CDP, CA",24.2265,0.0000,0.0000,1.0000,0.9565,1.0000,0.8043,0.9304,0.6435
Total,Census Place,0600674,"Albany city, CA",13.5879,0.0000,0.0000,0.3411,0.3411,1.0000,1.0000,1.0000,1.0000
Total,Census Place,0600716,"Albion CDP, CA",4.5293,0.0000,0.0000,0.9070,0.3488,0.0930,0.0000,0.0698,0.0000
Total,Census Place,0600786,"Alderpoint CDP, CA",6.4253,0.0000,0.0000,0.0656,0.0164,0.0000,0.0000,0.0000,0.0000
Total,Census Place,0600884,"Alhambra city, CA",18.0119,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9942
Total,Census Place,0600898,"Alhambra Valley CDP, CA",4.3186,0.0000,0.0000,1.0000,0.9268,0.8537,0.3659,0.5122,0.2927
Total,Census Place,0600947,"Aliso Viejo city, CA",15.7999,0.0000,0.0000,1.0000,1.0000,1.0000,0.9933,1.0000,0.9533
Total,Census Place,0600982,"Alleghany CDP, CA",0.7373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Total,Census Place,0600996,"Allendale CDP, CA",16.1159,0.0000,0.0000,1.0000,0.9020,1.0000,0.7908,0.9739,0.5621
Total,Census Place,0601010,"Allensworth CDP, CA",7.5839,0.0000,0.0000,1.0000,1.0000,1.0000,0.2917,1.0000,0.0139
Total,Census Place,0601094,"Almanor CDP, CA",2.3173,0.0000,0.0000,1.0000,0.8636,0.8182,0.0000,0.6818,0.0000
Total,Census Place,0601150,"Alondra Park CDP, CA",2.6333,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Total,Census Place,0601164,"Alpaugh CDP, CA",1.0533,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Total,Census Place,0601192,"Alpine CDP, CA",60.5662,0.0000,0.0000,0.9843,0.7826,0.9217,0.6939,0.8487,0.6052
Total,Census Place,0601228,"Alpine Village CDP, CA",10.3226,0.0000,0.0000,0.6735,0.1735,0.4286,0.0714,0.2143,0.0102
Total,Census Place,0601276,"Alta CDP, CA",6.1093,0.0000,0.0000,1.0000,0.5862,0.8966,0.2241,0.5690,0.1379
Total,Census Place,0601290,"Altadena CDP, CA",19.3812,0.0000,0.0000,1.0000,0.9891,1.0000,0.8967,0.9837,0.7446
Total,Census Place,0601358,"Alta Sierra CDP, CA",2.1067,0.0000,0.0000,0.8500,0.1000,0.5000,0.0500,0.3500,0.0000
Total,Census Place,0601360,"Alta Sierra CDP, CA",20.9612,0.0000,0.0000,0.9899,0.6985,0.7789,0.4925,0.5779,0.1407
Total,Census Place,0601416,"Alto CDP, CA",0.2107,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Total,Census Place,0601444,"Alturas city, CA",7.4786,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Total,Census Place,0601458,"Alum Rock CDP, CA",2.2120,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8095
Total,Census Place,0601514,"Amador City city, CA",0.7373,0.0000,0.0000,1.0000,1.0000,0.8571,0.2857,0.5714,0.2857
Total,Census Place,0601518,"Amador Pines CDP, CA",12.3239,0.0000,0.0000,0.8034,0.0855,0.1197,0.0427,0.0513,0.0000
Total,Census Place,0601640,"American Canyon city, CA",15.3785,0.0000,0.0000,1.0000,1.0000,1.0000,0.9384,1.0000,0.8630
Total,Census Place,0601651,"Amesti CDP, CA",7.4786,0.0000,0.0000,1.0000,0.9859,1.0000,0.9577,1.0000,0.8169
Total,Census Place,0602000,"Anaheim city, CA",117.0244,0.0000,0.0000,0.9991,0.9685,0.9793,0.9334,0.9685,0.9073
Total,Census Place,0602028,"Anchor Bay CDP, CA",8.7426,0.0000,0.0000,0.9277,0.4096,0.2169,0.0241,0.0723,0.0000
Total,Census Place,0602042,"Anderson city, CA",18.8545,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9944
Total,Census Place,0602112,"Angels city, CA",8.7426,0.0000,0.0000,1.0000,1.0000,1.0000,0.9398,1.0000,0.8072
Total,Census Place,0602168,"Angwin CDP, CA",12.0079,0.0000,0.0000,0.9737,0.7544,0.8158,0.5000,0.7632,0.4737
Total,Census Place,0602210,"Antelope CDP, CA",17.0639,0.0000,0.0000,1.0000,1.0000,1.0000,0.9877,1.0000,0.8519
